"id","full_name","birthdate","school","country","last_affiliation","height","weight","season_exp","jersey","position","roster_status","games_played_current_season_flag","team_id","team_name","dleague_flag","nba_flag","games_played_flag","draft_year","draft_round","draft_number","greatest_75_flag","is_active"
76001,"Alaa Abdelnaby",1968-06-24,"Duke","USA","Duke/USA","6-10",240,5,"30","Forward","Inactive","N",1610612757,"Trail Blazers","N","Y","Y","1990","1","25","N","false"
76002,"Zaid Abdul-Aziz",1946-04-07,"Iowa State","USA","Iowa State/USA","6-9",235,10,"54","Center","Inactive","N",1610612745,"Rockets","N","Y","Y","1968","1","5","N","false"
76003,"Kareem Abdul-Jabbar",1947-04-16,"UCLA","USA","UCLA/USA","7-2",225,20,"33","Center","Inactive","N",1610612747,"Lakers","N","Y","Y","1969","1","1","Y","false"
51,"Mahmoud Abdul-Rauf",1969-03-09,"Louisiana State","USA","Louisiana State/USA","6-1",162,9,"1","Guard","Inactive","N",1610612743,"Nuggets","N","Y","Y","1990","1","3","N","false"
1505,"Tariq Abdul-Wahad",1974-11-03,"San Jose State","France","San Jose State/France","6-6",235,7,"9","Forward-Guard","Inactive","N",1610612758,"Kings","N","Y","Y","1997","1","11","N","false"
949,"Shareef Abdur-Rahim",1976-12-11,"California","USA","California/USA","6-9",245,13,"3","Forward","Inactive","N",1610612763,"Grizzlies","N","Y","Y","1996","1","3","N","false"
76005,"Tom Abernethy",1954-05-06,"Indiana","USA","Indiana/USA","6-7",220,5,"5","Forward","Inactive","N",1610612744,"Warriors","N","Y","Y","1976","3","43","N","false"
76006,"Forest Able",1932-07-27,"Western Kentucky","USA","Western Kentucky/USA","6-3",180,1,"6","Guard","Inactive","N",1610612755,"Nationals","N","Y","Y","1956",,,"N","false"
76007,"John Abramovic",1919-02-09,"Salem","USA","Salem/USA","6-3",195,2,"","Forward","Inactive","N",1610610031,"Ironmen","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
203518,"Alex Abrines",1993-08-01,"FC Barcelona","Spain","FC Barcelona/Spain","6-6",200,3,"","Guard","Inactive","N",0,"","N","Y","Y","2013","2","32","N","false"
1630173,"Precious Achiuwa",1999-09-19,"Memphis","Nigeria","Memphis/Nigeria","6-8",243,4,"5","Forward","Active","Y",1610612752,"Knicks","N","Y","Y","2020","1","20","N","true"
101165,"Alex Acker",1983-01-21,"Pepperdine","USA","Pepperdine/USA","6-5",185,3,"3","Guard","Inactive","N",1610612746,"Clippers","Y","Y","Y","2005","2","60","N","false"
76008,"Donald Ackerman",1930-09-04,"Long Island-Brooklyn","USA","Long Island-Brooklyn/USA","6-0",183,1,"","Guard","Inactive","N",1610612752,"Knicks","N","Y","Y","1953","2",,"N","false"
76009,"Mark Acres",1962-11-15,"Oral Roberts","USA","Oral Roberts/USA","6-11",220,6,"42","Center","Inactive","N",1610612753,"Magic","N","Y","Y","1985","2","40","N","false"
76010,"Charles Acton",1942-01-11,"Hillsdale","USA","Hillsdale/USA","6-6",210,1,"24","Forward","Inactive","N",1610612745,"Rockets","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
203112,"Quincy Acy",1990-10-06,"Baylor","USA","Baylor/USA","6-7",240,7,"","Forward","Inactive","N",0,"","Y","Y","Y","2012","2","37","N","false"
76011,"Alvan Adams",1954-07-19,"Oklahoma","USA","Oklahoma/USA","6-9",210,13,"33","Center","Inactive","N",1610612756,"Suns","N","Y","Y","1975","1","4","N","false"
76012,"Don Adams",1947-11-27,"Northwestern","USA","Northwestern/USA","6-7",210,7,"10","Forward","Inactive","N",1610612765,"Pistons","N","Y","Y","1970","8","120","N","false"
200801,"Hassan Adams",1984-06-20,"Arizona","USA","Arizona/USA","6-4",220,2,"","Forward","Inactive","N",0,"","N","Y","Y","2006","2","54","N","false"
1629121,"Jaylen Adams",1996-05-04,"St. Bonaventure","USA","St. Bonaventure/USA","6-0",225,3,"","Guard","Inactive","N",0,"","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
203919,"Jordan Adams",1994-07-08,"UCLA","USA","UCLA/USA","6-5",209,3,"3","Guard","Inactive","N",1610612763,"Grizzlies","Y","Y","Y","2014","1","22","N","false"
149,"Michael Adams",1963-01-19,"Boston College","USA","Boston College/USA","5-10",165,11,"23","Guard","Inactive","N",1610612743,"Nuggets","N","Y","Y","1985","3","66","N","false"
203500,"Steven Adams",1993-07-20,"Pittsburgh","New Zealand","Pittsburgh/New Zealand","6-11",265,10,"12","Center","Active","Y",1610612745,"Rockets","N","Y","Y","2013","1","12","N","true"
912,"Rafael Addison",1964-07-22,"Syracuse","USA","Syracuse/USA","6-8",241,6,"7","Forward","Inactive","N",1610612751,"Nets","N","Y","Y","1986","2","39","N","false"
1628389,"Bam Adebayo",1997-07-18,"Kentucky","USA","Kentucky/USA","6-9",255,7,"13","Center-Forward","Active","Y",1610612748,"Heat","N","Y","Y","2017","1","14","N","true"
1629061,"Deng Adel",1997-02-01,"Louisville","South Sudan","Louisville/South Sudan","6-7",200,2,"32","Forward","Inactive","N",1610612739,"Cavaliers","Y","Y","Y","2018",,,"N","false"
76015,"Rick Adelman",1946-06-16,"Loyola-Marymount","USA","Loyola-Marymount/USA","6-2",175,7,"5","Guard","Inactive","N",1610612757,"Trail Blazers","N","Y","Y","1968","7","79","N","false"
202399,"Jeff Adrien",1986-02-10,"Connecticut","USA","Connecticut/USA","",,6,"","","Inactive","N",0,"","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
201167,"Arron Afflalo",1985-10-15,"UCLA","USA","UCLA/USA","6-5",210,12,"4","Guard","Inactive","N",1610612743,"Nuggets","N","Y","Y","2007","1","27","N","false"
1630534,"Ochai Agbaji",2000-04-20,"Kansas","USA","Kansas/USA","6-5",215,2,"30","Guard","Active","Y",1610612761,"Raptors","Y","Y","Y","2022","1","14","N","true"
200772,"Maurice Ager",1984-02-09,"Michigan State","USA","Michigan State/USA","6-5",202,4,"","Forward-Guard","Inactive","N",0,"","Y","Y","Y","2006","1","28","N","false"
76016,"Mark Aguirre",1959-12-10,"DePaul","USA","DePaul/USA","6-6",232,13,"7","Forward","Inactive","N",1610612742,"Mavericks","N","Y","Y","1981","1","1","N","false"
201336,"Blake Ahearn",1984-05-27,"Missouri State","USA","Missouri State/USA","6-2",190,4,"2","Guard","Inactive","N",1610612748,"Heat","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76017,"Danny Ainge",1959-03-17,"Brigham Young","USA","Brigham Young/USA","6-5",175,14,"22","Guard","Inactive","N",1610612738,"Celtics","N","Y","Y","1981","2","31","N","false"
201582,"Alexis Ajinca",1988-05-06,"Hyeres-Toulon","France","Hyeres-Toulon/France","7-2",248,8,"42","Center","Inactive","N",1610612740,"Pelicans","Y","Y","Y","2008","1","20","N","false"
76018,"Henry Akin",1944-07-31,"Morehead State","USA","Morehead State/USA","6-10",225,2,"10","Center","Inactive","N",1610612752,"Knicks","N","Y","Y","1966","2","11","N","false"
1631231,"James Akinjo",2000-11-27,"Baylor","USA","Baylor/USA","",,0,"","","Inactive","Y",0,"","Y","N","Y","Undrafted","Undrafted","Undrafted","N","true"
203006,"Josh Akognon",1986-02-10,"California State-Fullerton","USA","California State-Fullerton/USA","5-11",185,2,"10","Guard","Inactive","N",1610612742,"Mavericks","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
1629152,"DeVaughn Akoon-Purcell",1993-06-05,"Illinois State","Trinidad and Tobago","Illinois State/Trinidad and Tobago","6-6",200,2,"","Guard-Forward","Inactive","N",0,"","Y","Y","Y","2016",,,"N","false"
202374,"Solomon Alabi",1988-03-21,"Florida State","Nigeria","Florida State/Nigeria","7-1",252,3,"50","Center","Inactive","N",1610612761,"Raptors","Y","Y","Y","2010","2","50","N","false"
76019,"Mark Alarie",1963-12-11,"Duke","USA","Duke/USA","6-8",217,5,"31","Forward","Inactive","N",1610612764,"Bullets","N","Y","Y","1986","1","18","N","false"
76020,"Gary Alcorn",1936-10-08,"Fresno State","USA","Fresno State/USA","6-9",225,2,"24","Center","Inactive","N",1610612765,"Pistons","N","Y","Y","1959","3","16","N","false"
1630583,"Santi Aldama",2001-01-10,"Loyola-Maryland","Spain","Loyola-Maryland/Spain","7-0",215,3,"7","Forward-Center","Active","Y",1610612763,"Grizzlies","Y","Y","Y","2021","1","30","N","true"
203128,"Furkan Aldemir",1991-08-09,"Galatasaray","Turkey","Galatasaray/Turkey","6-10",240,2,"19","Forward-Center","Inactive","N",1610612755,"76ers","N","Y","Y","2012","2","53","N","false"
202332,"Cole Aldrich",1988-10-31,"Kansas","USA","Kansas/USA","6-11",253,9,"45","Center","Inactive","N",1610612752,"Knicks","Y","Y","Y","2010","1","11","N","false"
200746,"LaMarcus Aldridge",1985-07-19,"University of Texas at Austin","USA","Texas/USA","6-11",250,17,"21","Center-Forward","Inactive","N",1610612751,"Nets","N","Y","Y","2006","1","2","N","false"
76021,"Chuck Aleksinas",1959-02-26,"Connecticut","USA","Connecticut/USA","6-11",260,1,"50","Center","Inactive","N",1610612744,"Warriors","N","Y","Y","1982","4","76","N","false"
1626146,"Cliff Alexander",1995-11-16,"Kansas","USA","Kansas/USA","6-8",240,2,"34","Forward","Inactive","N",1610612757,"Trail Blazers","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
724,"Cory Alexander",1973-06-22,"Virginia","USA","Virginia/USA","6-1",190,8,"12","Guard","Inactive","N",1610612759,"Spurs","N","Y","Y","1995","1","29","N","false"
2042,"Courtney Alexander",1977-04-27,"Fresno State","USA","Fresno State/USA","6-5",205,4,"32","Guard","Inactive","N",1610612764,"Wizards","N","Y","Y","2000","1","13","N","false"
76022,"Gary Alexander",1969-11-01,"South Florida","USA","South Florida/USA","6-7",240,1,"16","Forward","Inactive","N",1610612739,"Cavaliers","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
201570,"Joe Alexander",1986-12-26,"West Virginia","USA","West Virginia/USA","6-8",230,3,"20","Forward","Inactive","N",1610612749,"Bucks","Y","Y","Y","2008","1","8","N","false"
1629734,"Kyle Alexander",1996-10-21,"Tennessee","Canada","Tennessee/Canada","6-10",216,2,"17","Forward-Center","Inactive","N",1610612748,"Heat","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
1641725,"Trey Alexander",2003-05-02,"Creighton","USA","Creighton/USA","6-4",185,0,"23","Guard","Active","Y",1610612743,"Nuggets","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","true"
1630234,"Ty-Shon Alexander",1998-07-16,"Creighton","USA","Creighton/USA","6-3",195,2,"0","Guard","Inactive","N",1610612756,"Suns","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
2349,"Victor Alexander",1969-08-31,"Iowa State","USA","Iowa State/USA","6-10",265,5,"9","Forward","Inactive","N",1610612744,"Warriors","N","Y","Y","1991","1","17","N","false"
1629638,"Nickeil Alexander-Walker",1998-09-02,"Virginia Tech","Canada","Virginia Tech/Canada","6-5",205,5,"9","Guard","Active","Y",1610612750,"Timberwolves","Y","Y","Y","2019","1","17","N","true"
76024,"Steve Alford",1964-11-23,"Indiana","USA","Indiana/USA","6-2",183,4,"4","Guard","Inactive","N",1610612742,"Mavericks","N","Y","Y","1987","2","26","N","false"
1628959,"Rawle Alkins",1997-10-29,"Arizona","USA","Arizona/USA","6-5",225,2,"20","Guard","Inactive","N",1610612741,"Bulls","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76028,"Bob Allen",1946-07-17,"Marshall","USA","Marshall/USA","6-9",205,1,"50","Forward","Inactive","N",1610612744,"Warriors","N","Y","Y","1968","6","71","N","false"
1628960,"Grayson Allen",1995-10-08,"Duke","USA","Duke/USA","6-4",198,6,"8","Guard","Active","Y",1610612756,"Suns","Y","Y","Y","2018","1","21","N","true"
1628386,"Jarrett Allen",1998-04-21,"Texas","USA","Texas/USA","6-9",243,7,"31","Center","Active","Y",1610612739,"Cavaliers","N","Y","Y","2017","1","22","N","true"
706,"Jerome Allen",1973-01-28,"Pennsylvania","USA","Pennsylvania/USA","6-4",184,2,"53","Guard","Inactive","N",1610612754,"Pacers","N","Y","Y","1995","2","49","N","false"
1628443,"Kadeem Allen",1993-01-15,"Arizona","USA","Arizona/USA","6-1",200,3,"","Guard","Inactive","N",0,"","Y","Y","Y","2017","2","53","N","false"
202730,"Lavoy Allen",1989-02-04,"Temple","USA","Temple/USA","6-9",260,7,"5","Forward-Center","Inactive","N",1610612754,"Pacers","Y","Y","Y","2011","2","50","N","false"
76027,"Lucius Allen",1947-09-26,"UCLA","USA","UCLA/USA","6-2",175,10,"42","Guard","Inactive","N",1610612749,"Bucks","N","Y","Y","1969","1","3","N","false"
2124,"Malik Allen",1978-06-27,"Villanova","USA","Villanova/USA","6-10",255,11,"35","Forward","Inactive","N",1610612748,"Heat","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76025,"Randy Allen",1965-01-26,"Florida State","USA","Florida State/USA","6-8",220,2,"33","Forward","Inactive","N",1610612758,"Kings","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
951,"Ray Allen",1975-07-20,"Connecticut","USA","Connecticut/USA","6-5",205,18,"34","Guard","Inactive","N",1610612749,"Bucks","N","Y","Y","1996","1","5","Y","false"
1641851,"Timmy Allen",2000-01-09,"Texas","USA","Texas/USA","6-6",210,1,"","Forward","Inactive","N",0,"","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
2754,"Tony Allen",1982-01-11,"Oklahoma State","USA","Oklahoma State/USA","6-4",213,14,"","Guard-Forward","Inactive","N",0,"","N","Y","Y","2004","1","25","N","false"
76029,"Odis Allison",1949-10-02,"UNLV","USA","UNLV/USA","6-6",195,1,"22","Forward","Inactive","N",1610612744,"Warriors","N","Y","Y","1971","5","76","N","false"
200984,"Lance Allred",1981-02-02,"Weber State","USA","Weber State/USA","6-11",250,2,"41","Center","Inactive","N",1610612739,"Cavaliers","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76030,"Darrell Allums",1958-09-12,"UCLA","USA","UCLA/USA","6-8",220,1,"32","Forward","Inactive","N",1610612742,"Mavericks","N","Y","Y","1980","5","103","N","false"
201165,"Morris Almond",1985-02-02,"Rice","USA","Rice/USA","6-6",225,4,"21","Guard","Inactive","N",1610612762,"Jazz","Y","Y","Y","2007","1","25","N","false"
308,"Derrick Alston",1972-08-20,"Duquesne","USA","Duquesne/USA","6-11",225,3,"","Center","Inactive","N",0,"","N","Y","Y","1994","2","33","N","false"
1747,"Rafer Alston",1976-07-24,"Fresno State","USA","Fresno State/USA","6-2",175,11,"11","Guard","Inactive","N",1610612745,"Rockets","Y","Y","Y","1998","2","39","N","false"
1824,"Peter Aluma",1973-04-26,"Liberty","USA","Liberty/USA","6-10",260,1,"","Center","Inactive","N",0,"","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
1630631,"Jose Alvarado",1998-04-12,"Georgia Tech","USA","Georgia Tech/USA","6-0",179,3,"15","Guard","Active","Y",1610612740,"Pelicans","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","true"
680,"John Amaechi",1970-11-26,"Penn State","United Kingdom","Penn State/United Kingdom","6-10",270,6,"13","Forward-Center","Inactive","N",1610612753,"Magic","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
732,"Ashraf Amaya",1971-11-23,"Southern Illinois","USA","Southern Illinois/USA","6-8",230,2,"","Forward","Inactive","N",0,"","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
202329,"Al-Farouq Aminu",1990-09-21,"Wake Forest","USA","Wake Forest/USA","6-8",220,12,"5","Forward","Inactive","N",1610612757,"Trail Blazers","N","Y","Y","2010","1","8","N","false"
200811,"Lou Amundson",1982-12-07,"UNLV","USA","UNLV/USA","6-9",220,11,"17","Forward","Inactive","N",1610612756,"Suns","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76034,"Bob Anderegg",1937-08-24,"Michigan State","USA","Michigan State/USA","6-3",200,1,"18","Forward","Inactive","N",1610612752,"Knicks","N","Y","Y","1959","3","20","N","false"
2365,"Chris Andersen",1978-07-07,"Blinn J.C.","USA","Blinn J.C./USA","6-10",245,15,"","Forward-Center","Inactive","N",0,"","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
2431,"David Andersen",1980-06-23,"FC Barcelona","Australia","FC Barcelona/Australia","",,20,"","","Inactive","N",0,"","N","Y","Y","2002","2","36","N","false"
101187,"Alan Anderson",1982-10-16,"Michigan State","USA","Michigan State/USA","6-6",220,9,"9","Forward-Guard","Inactive","N",1610612751,"Nets","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
202079,"Antonio Anderson",1985-06-05,"Memphis","USA","Memphis/USA","6-6",215,2,"","Guard","Inactive","N",0,"","Y","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
76035,"Cliff Anderson",1944-09-07,"St. Joseph's (PA)","USA","St. Joseph's (PA)/USA","6-2",200,3,"26","Guard","Inactive","N",1610612747,"Lakers","N","Y","Y","1967","4","35","N","false"
76036,"Daniel Anderson",1951-01-01,"Southern California","USA","Southern California/USA","6-2",185,2,"33","Guard","Inactive","N",1610612757,"Trail Blazers","N","Y","Y","1974","6","92","N","false"
1507,"Derek Anderson",1974-07-18,"Kentucky","USA","Kentucky/USA","6-5",195,12,"1","Guard","Inactive","N",1610612757,"Trail Blazers","N","Y","Y","1997","1","13","N","false"
76037,"Dwight Anderson",1960-12-28,"Southern California","USA","Southern California/USA","6-3",185,1,"20","Guard","Inactive","N",1610612743,"Nuggets","N","Y","Y","1982","2","41","N","false"
944,"Eric Anderson",1970-05-26,"Indiana","USA","Indiana/USA","6-9",220,2,"42","Forward","Inactive","N",1610612752,"Knicks","N","Y","Y","Undrafted","Undrafted","Undrafted","N","false"
246,"Greg Anderson",1964-06-22,"Houston","USA","Houston/USA","6-10",250,10,"0","Center-Forward","Inactive","N",1610612759,"Spurs","N","Y","Y","1987","1","23","N","false"
202341,"James Anderson",1989-03-25,"Oklahoma State","USA","Oklahoma State/USA","6-6",213,6,"5","Guard-Forward","Inactive","N",1610612759,"Spurs","Y","Y","Y","2010","1","20","N","false"
76040,"Jerome Anderson",1953-10-09,"West Virginia","USA","West Virginia/USA","6-5",195,2,"21-23","Guard","Inactive","N",1610612754,"Pacers","N","Y","Y","1975","3","53","N","false"
