id,full_name,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,roster_status,games_played_current_season_flag,team_id,team_name,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,is_active
76001,Alaa Abdelnaby,1968-06-24T00:00:00,Duke,USA,Duke/USA,6-10,240.0,5,30,Forward,Inactive,N,1610612757,Trail Blazers,N,Y,Y,1990,1,25,N,False
76002,Zaid Abdul-Aziz,1946-04-07T00:00:00,Iowa State,USA,Iowa State/USA,6-9,235.0,10,54,Center,Inactive,N,1610612745,Rockets,N,Y,Y,1968,1,5,N,False
76003,Kareem Abdul-Jabbar,1947-04-16T00:00:00,UCLA,USA,UCLA/USA,7-2,225.0,20,33,Center,Inactive,N,1610612747,Lakers,N,Y,Y,1969,1,1,Y,False
51,Mahmoud Abdul-Rauf,1969-03-09T00:00:00,Louisiana State,USA,Louisiana State/USA,6-1,162.0,9,1,Guard,Inactive,N,1610612743,Nuggets,N,Y,Y,1990,1,3,N,False
1505,Tariq Abdul-Wahad,1974-11-03T00:00:00,San Jose State,France,San Jose State/France,6-6,235.0,7,9,Forward-Guard,Inactive,N,1610612758,Kings,N,Y,Y,1997,1,11,N,False
949,Shareef Abdur-Rahim,1976-12-11T00:00:00,California,USA,California/USA,6-9,245.0,13,3,Forward,Inactive,N,1610612763,Grizzlies,N,Y,Y,1996,1,3,N,False
76005,Tom Abernethy,1954-05-06T00:00:00,Indiana,USA,Indiana/USA,6-7,220.0,5,5,Forward,Inactive,N,1610612744,Warriors,N,Y,Y,1976,3,43,N,False
76006,Forest Able,1932-07-27T00:00:00,Western Kentucky,USA,Western Kentucky/USA,6-3,180.0,1,6,Guard,Inactive,N,1610612755,Nationals,N,Y,Y,1956,,,N,False
76007,John Abramovic,1919-02-09T00:00:00,Salem,USA,Salem/USA,6-3,195.0,2,,Forward,Inactive,N,1610610031,Ironmen,N,Y,Y,Undrafted,Undrafted,Undrafted,N,False
203518,Alex Abrines,1993-08-01T00:00:00,FC Barcelona,Spain,FC Barcelona/Spain,6-6,200.0,3,,Guard,Inactive,N,0,,N,Y,Y,2013,2,32,N,False
1630173,Precious Achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,243.0,4,5,Forward,Active,Y,1610612752,Knicks,N,Y,Y,2020,1,20,N,True
101165,Alex Acker,1983-01-21T00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185.0,3,3,Guard,Inactive,N,1610612746,Clippers,Y,Y,Y,2005,2,60,N,False
76008,Donald Ackerman,1930-09-04T00:00:00,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183.0,1,,Guard,Inactive,N,1610612752,Knicks,N,Y,Y,1953,2,,N,False
76009,Mark Acres,1962-11-15T00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220.0,6,42,Center,Inactive,N,1610612753,Magic,N,Y,Y,1985,2,40,N,False
76010,Charles Acton,1942-01-11T00:00:00,Hillsdale,USA,Hillsdale/USA,6-6,210.0,1,24,Forward,Inactive,N,1610612745,Rockets,N,Y,Y,Undrafted,Undrafted,Undrafted,N,False
203112,Quincy Acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,6-7,240.0,7,,Forward,Inactive,N,0,,Y,Y,Y,2012,2,37,N,False
76011,Alvan Adams,1954-07-19T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210.0,13,33,Center,Inactive,N,1610612756,Suns,N,Y,Y,1975,1,4,N,False
76012,Don Adams,1947-11-27T00:00:00,Northwestern,USA,Northwestern/USA,6-7,210.0,7,10,Forward,Inactive,N,1610612765,Pistons,N,Y,Y,1970,8,120,N,False
200801,Hassan Adams,1984-06-20T00:00:00,Arizona,USA,Arizona/USA,6-4,220.0,2,,Forward,Inactive,N,0,,N,Y,Y,2006,2,54,N,False
1629121,Jaylen Adams,1996-05-04T00:00:00,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225.0,3,,Guard,Inactive,N,0,,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,False
203919,Jordan Adams,1994-07-08T00:00:00,UCLA,USA,UCLA/USA,6-5,209.0,3,3,Guard,Inactive,N,1610612763,Grizzlies,Y,Y,Y,2014,1,22,N,False
149,Michael Adams,1963-01-19T00:00:00,Boston College,USA,Boston College/USA,5-10,165.0,11,23,Guard,Inactive,N,1610612743,Nuggets,N,Y,Y,1985,3,66,N,False
203500,Steven Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265.0,10,12,Center,Active,Y,1610612745,Rockets,N,Y,Y,2013,1,12,N,True
912,Rafael Addison,1964-07-22T00:00:00,Syracuse,USA,Syracuse/USA,6-8,241.0,6,7,Forward,Inactive,N,1610612751,Nets,N,Y,Y,1986,2,39,N,False
1628389,Bam Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255.0,7,13,Center-Forward,Active,Y,1610612748,Heat,N,Y,Y,2017,1,14,N,True
1629061,Deng Adel,1997-02-01T00:00:00,Louisville,South Sudan,Louisville/South Sudan,6-7,200.0,2,32,Forward,Inactive,N,1610612739,Cavaliers,Y,Y,Y,2018,,,N,False
76015,Rick Adelman,1946-06-16T00:00:00,Loyola-Marymount,USA,Loyola-Marymount/USA,6-2,175.0,7,5,Guard,Inactive,N,1610612757,Trail Blazers,N,Y,Y,1968,7,79,N,False
202399,Jeff Adrien,1986-02-10T00:00:00,Connecticut,USA,Connecticut/USA,,,6,,,Inactive,N,0,,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,False
201167,Arron Afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,6-5,210.0,12,4,Guard,Inactive,N,1610612743,Nuggets,N,Y,Y,2007,1,27,N,False
1630534,Ochai Agbaji,2000-04-20T00:00:00,Kansas,USA,Kansas/USA,6-5,215.0,2,30,Guard,Active,Y,1610612761,Raptors,Y,Y,Y,2022,1,14,N,True
200772,Maurice Ager,1984-02-09T00:00:00,Michigan State,USA,Michigan State/USA,6-5,202.0,4,,Forward-Guard,Inactive,N,0,,Y,Y,Y,2006,1,28,N,False
76016,Mark Aguirre,1959-12-10T00:00:00,DePaul,USA,DePaul/USA,6-6,232.0,13,7,Forward,Inactive,N,1610612742,Mavericks,N,Y,Y,1981,1,1,N,False
201336,Blake Ahearn,1984-05-27T00:00:00,Missouri State,USA,Missouri State/USA,6-2,190.0,4,2,Guard,Inactive,N,1610612748,Heat,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,False
76017,Danny Ainge,1959-03-17T00:00:00,Brigham Young,USA,Brigham Young/USA,6-5,175.0,14,22,Guard,Inactive,N,1610612738,Celtics,N,Y,Y,1981,2,31,N,False
201582,Alexis Ajinca,1988-05-06T00:00:00,Hyeres-Toulon,France,Hyeres-Toulon/France,7-2,248.0,8,42,Center,Inactive,N,1610612740,Pelicans,Y,Y,Y,2008,1,20,N,False
76018,Henry Akin,1944-07-31T00:00:00,Morehead State,USA,Morehead State/USA,6-10,225.0,2,10,Center,Inactive,N,1610612752,Knicks,N,Y,Y,1966,2,11,N,False
1631231,James Akinjo,2000-11-27T00:00:00,Baylor,USA,Baylor/USA,,,0,,,Inactive,Y,0,,Y,N,Y,Undrafted,Undrafted,Undrafted,N,True
203006,Josh Akognon,1986-02-10T00:00:00,California State-Fullerton,USA,California State-Fullerton/USA,5-11,185.0,2,10,Guard,Inactive,N,1610612742,Mavericks,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,False
1629152,DeVaughn Akoon-Purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,6-6,200.0,2,,Guard-Forward,Inactive,N,0,,Y,Y,Y,2016,,,N,False
202374,Solomon Alabi,1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252.0,3,50,Center,Inactive,N,1610612761,Raptors,Y,Y,Y,2010,2,50,N,False
76019,Mark Alarie,1963-12-11T00:00:00,Duke,USA,Duke/USA,6-8,217.0,5,31,Forward,Inactive,N,1610612764,Bullets,N,Y,Y,1986,1,18,N,False
76020,Gary Alcorn,1936-10-08T00:00:00,Fresno State,USA,Fresno State/USA,6-9,225.0,2,24,Center,Inactive,N,1610612765,Pistons,N,Y,Y,1959,3,16,N,False
1630583,Santi Aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215.0,3,7,Forward-Center,Active,Y,1610612763,Grizzlies,Y,Y,Y,2021,1,30,N,True
203128,Furkan Aldemir,1991-08-09T00:00:00,Galatasaray,Turkey,Galatasaray/Turkey,6-10,240.0,2,19,Forward-Center,Inactive,N,1610612755,76ers,N,Y,Y,2012,2,53,N,False
202332,Cole Aldrich,1988-10-31T00:00:00,Kansas,USA,Kansas/USA,6-11,253.0,9,45,Center,Inactive,N,1610612752,Knicks,Y,Y,Y,2010,1,11,N,False
200746,LaMarcus Aldridge,1985-07-19T00:00:00,University of Texas at Austin,USA,Texas/USA,6-11,250.0,17,21,Center-Forward,Inactive,N,1610612751,Nets,N,Y,Y,2006,1,2,N,False
76021,Chuck Aleksinas,1959-02-26T00:00:00,Connecticut,USA,Connecticut/USA,6-11,260.0,1,50,Center,Inactive,N,1610612744,Warriors,N,Y,Y,1982,4,76,N,False
1626146,Cliff Alexander,1995-11-16T00:00:00,Kansas,USA,Kansas/USA,6-8,240.0,2,34,Forward,Inactive,N,1610612757,Trail Blazers,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,False
724,Cory Alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190.0,8,12,Guard,Inactive,N,1610612759,Spurs,N,Y,Y,1995,1,29,N,False
