team_id,full_name,city,state,abbreviation,year_founded
1610612737,Atlanta Hawks,Atlanta,Georgia,ATL,1949
1610612738,Boston Celtics,Boston,Massachusetts,BOS,1946
1610612739,Cleveland Cavaliers,Cleveland,Ohio,CLE,1970
1610612740,New Orleans Pelicans,New Orleans,Louisiana,NOP,2002
1610612741,Chicago Bulls,Chicago,Illinois,CHI,1966
1610612742,Dallas Mavericks,Dallas,Texas,DAL,1980
1610612743,Denver Nuggets,Denver,Colorado,DEN,1976
1610612744,Golden State Warriors,Golden State,California,GSW,1946
1610612745,Houston Rockets,Houston,Texas,HOU,1967
1610612746,Los Angeles Clippers,Los Angeles,California,LAC,1970
1610612747,Los Angeles Lakers,Los Angeles,California,LAL,1948
1610612748,Miami Heat,Miami,Florida,MIA,1988
1610612749,Milwaukee Bucks,Milwaukee,Wisconsin,MIL,1968
1610612750,Minnesota Timberwolves,Minnesota,Minnesota,MIN,1989
1610612751,Brooklyn Nets,Brooklyn,New York,BKN,1976
1610612752,New York Knicks,New York,New York,NYK,1946
1610612753,Orlando Magic,Orlando,Florida,ORL,1989
1610612754,Indiana Pacers,Indiana,Indiana,IND,1976
1610612755,Philadelphia 76ers,Philadelphia,Pennsylvania,PHI,1949
1610612756,Phoenix Suns,Phoenix,Arizona,PHX,1968
1610612757,Portland Trail Blazers,Portland,Oregon,POR,1970
1610612758,Sacramento Kings,Sacramento,California,SAC,1948
1610612759,San Antonio Spurs,San Antonio,Texas,SAS,1976
1610612760,Oklahoma City Thunder,Oklahoma City,Oklahoma,OKC,1967
1610612761,Toronto Raptors,Toronto,Ontario,TOR,1995
1610612762,Utah Jazz,Utah,Utah,UTA,1974
1610612763,Memphis Grizzlies,Memphis,Tennessee,MEM,1995
1610612764,Washington Wizards,Washington,District of Columbia,WAS,1961
1610612765,Detroit Pistons,Detroit,Michigan,DET,1948
1610612766,Charlotte Hornets,Charlotte,North Carolina,CHA,1988
