[2024-12-29T08:36:02.447+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2024-12-29T08:36:01.177074+00:00 [queued]>
[2024-12-29T08:36:02.453+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2024-12-29T08:36:01.177074+00:00 [queued]>
[2024-12-29T08:36:02.453+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-29T08:36:02.462+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): fetch_and_process_games_task> on 2024-12-29 08:36:01.177074+00:00
[2024-12-29T08:36:02.466+0000] {standard_task_runner.py:57} INFO - Started process 62 to run task
[2024-12-29T08:36:02.468+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_process_games', 'fetch_and_process_games_task', 'manual__2024-12-29T08:36:01.177074+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/retrieve_games_dag.py', '--cfg-path', '/tmp/tmploo2mlbe']
[2024-12-29T08:36:02.469+0000] {standard_task_runner.py:85} INFO - Job 17: Subtask fetch_and_process_games_task
[2024-12-29T08:36:02.499+0000] {task_command.py:410} INFO - Running <TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2024-12-29T08:36:01.177074+00:00 [running]> on host 62d1d48b14de
[2024-12-29T08:36:02.561+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_and_process_games' AIRFLOW_CTX_TASK_ID='fetch_and_process_games_task' AIRFLOW_CTX_EXECUTION_DATE='2024-12-29T08:36:01.177074+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-29T08:36:01.177074+00:00'
[2024-12-29T08:36:03.759+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2024-12-29T08:36:04.159+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2024-12-29T08:36:04.159+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2024-12-29T08:36:04.260+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2024-12-29T08:36:04.261+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2024-12-29T08:36:04.535+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
[2024-12-29T08:36:04.535+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2024-12-29T08:36:04.634+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
[2024-12-29T08:36:04.635+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300403
[2024-12-29T08:36:04.955+0000] {logging_mixin.py:150} INFO - Game 0042300403 processed successfully.
[2024-12-29T08:36:04.955+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300403
[2024-12-29T08:36:05.049+0000] {logging_mixin.py:150} INFO - Game 0042300403 processed successfully.
[2024-12-29T08:36:05.050+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300402
[2024-12-29T08:36:05.316+0000] {logging_mixin.py:150} INFO - Game 0042300402 processed successfully.
[2024-12-29T08:36:05.316+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300402
[2024-12-29T08:36:05.476+0000] {logging_mixin.py:150} INFO - Game 0042300402 processed successfully.
[2024-12-29T08:36:05.476+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300401
[2024-12-29T08:36:05.993+0000] {logging_mixin.py:150} INFO - Game 0042300401 processed successfully.
[2024-12-29T08:36:05.993+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300401
[2024-12-29T08:36:06.122+0000] {logging_mixin.py:150} INFO - Game 0042300401 processed successfully.
[2024-12-29T08:36:06.123+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300315
[2024-12-29T08:36:06.595+0000] {logging_mixin.py:150} INFO - Game 0042300315 processed successfully.
[2024-12-29T08:36:06.595+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300315
[2024-12-29T08:36:06.695+0000] {logging_mixin.py:150} INFO - Game 0042300315 processed successfully.
[2024-12-29T08:36:06.696+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300314
