[2025-01-06T05:59:26.495+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T05:59:25.303664+00:00 [queued]>
[2025-01-06T05:59:26.501+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T05:59:25.303664+00:00 [queued]>
[2025-01-06T05:59:26.501+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-06T05:59:26.509+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): fetch_and_process_games_task> on 2025-01-06 05:59:25.303664+00:00
[2025-01-06T05:59:26.513+0000] {standard_task_runner.py:57} INFO - Started process 569 to run task
[2025-01-06T05:59:26.519+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_process_games', 'fetch_and_process_games_task', 'manual__2025-01-06T05:59:25.303664+00:00', '--job-id', '85', '--raw', '--subdir', 'DAGS_FOLDER/retrieve_games_dag.py', '--cfg-path', '/tmp/tmpr05_l0aj']
[2025-01-06T05:59:26.532+0000] {standard_task_runner.py:85} INFO - Job 85: Subtask fetch_and_process_games_task
[2025-01-06T05:59:26.576+0000] {task_command.py:410} INFO - Running <TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T05:59:25.303664+00:00 [running]> on host f7921eadaf8b
[2025-01-06T05:59:26.638+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_and_process_games' AIRFLOW_CTX_TASK_ID='fetch_and_process_games_task' AIRFLOW_CTX_EXECUTION_DATE='2025-01-06T05:59:25.303664+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-06T05:59:25.303664+00:00'
[2025-01-06T05:59:28.027+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2025-01-06T05:59:28.326+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2025-01-06T05:59:28.326+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2025-01-06T05:59:28.419+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2025-01-06T05:59:28.420+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2025-01-06T05:59:28.693+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
[2025-01-06T05:59:28.695+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2025-01-06T05:59:28.956+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
[2025-01-06T05:59:28.956+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300403
[2025-01-06T05:59:29.236+0000] {logging_mixin.py:150} INFO - Game 0042300403 processed successfully.
[2025-01-06T05:59:29.237+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300403
[2025-01-06T05:59:29.393+0000] {logging_mixin.py:150} INFO - Game 0042300403 processed successfully.
[2025-01-06T05:59:29.393+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300402
[2025-01-06T05:59:29.664+0000] {logging_mixin.py:150} INFO - Game 0042300402 processed successfully.
[2025-01-06T05:59:29.664+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300402
[2025-01-06T05:59:29.749+0000] {logging_mixin.py:150} INFO - Game 0042300402 processed successfully.
[2025-01-06T05:59:29.749+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300401
[2025-01-06T05:59:30.102+0000] {logging_mixin.py:150} INFO - Game 0042300401 processed successfully.
[2025-01-06T05:59:30.102+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300401
[2025-01-06T05:59:30.178+0000] {logging_mixin.py:150} INFO - Game 0042300401 processed successfully.
[2025-01-06T05:59:30.178+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300315
[2025-01-06T05:59:30.456+0000] {logging_mixin.py:150} INFO - Game 0042300315 processed successfully.
[2025-01-06T05:59:30.456+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300315
[2025-01-06T05:59:30.530+0000] {logging_mixin.py:150} INFO - Game 0042300315 processed successfully.
[2025-01-06T05:59:30.531+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300314
[2025-01-06T05:59:30.925+0000] {logging_mixin.py:150} INFO - Game 0042300314 processed successfully.
[2025-01-06T05:59:30.925+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300314
[2025-01-06T05:59:31.005+0000] {logging_mixin.py:150} INFO - Game 0042300314 processed successfully.
[2025-01-06T05:59:31.005+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300304
[2025-01-06T05:59:31.289+0000] {logging_mixin.py:150} INFO - Game 0042300304 processed successfully.
[2025-01-06T05:59:31.289+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300304
[2025-01-06T05:59:31.447+0000] {logging_mixin.py:150} INFO - Game 0042300304 processed successfully.
[2025-01-06T05:59:31.447+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300313
[2025-01-06T05:59:31.870+0000] {logging_mixin.py:150} INFO - Game 0042300313 processed successfully.
[2025-01-06T05:59:31.871+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300313
[2025-01-06T05:59:32.032+0000] {logging_mixin.py:150} INFO - Game 0042300313 processed successfully.
[2025-01-06T05:59:32.032+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300303
[2025-01-06T05:59:32.331+0000] {logging_mixin.py:150} INFO - Game 0042300303 processed successfully.
[2025-01-06T05:59:32.332+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300303
[2025-01-06T05:59:32.504+0000] {logging_mixin.py:150} INFO - Game 0042300303 processed successfully.
[2025-01-06T05:59:32.505+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300312
[2025-01-06T05:59:32.794+0000] {logging_mixin.py:150} INFO - Game 0042300312 processed successfully.
[2025-01-06T05:59:32.795+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300312
[2025-01-06T05:59:32.912+0000] {logging_mixin.py:150} INFO - Game 0042300312 processed successfully.
[2025-01-06T05:59:32.913+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300302
[2025-01-06T05:59:33.308+0000] {logging_mixin.py:150} INFO - Game 0042300302 processed successfully.
[2025-01-06T05:59:33.308+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300302
[2025-01-06T05:59:33.375+0000] {logging_mixin.py:150} INFO - Game 0042300302 processed successfully.
[2025-01-06T05:59:33.375+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300311
[2025-01-06T05:59:33.641+0000] {logging_mixin.py:150} INFO - Game 0042300311 processed successfully.
[2025-01-06T05:59:33.642+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300311
[2025-01-06T05:59:33.707+0000] {logging_mixin.py:150} INFO - Game 0042300311 processed successfully.
[2025-01-06T05:59:33.707+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300301
[2025-01-06T05:59:34.069+0000] {logging_mixin.py:150} INFO - Game 0042300301 processed successfully.
[2025-01-06T05:59:34.070+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300301
[2025-01-06T05:59:34.148+0000] {logging_mixin.py:150} INFO - Game 0042300301 processed successfully.
[2025-01-06T05:59:34.148+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300237
[2025-01-06T05:59:34.423+0000] {logging_mixin.py:150} INFO - Game 0042300237 processed successfully.
[2025-01-06T05:59:34.424+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300237
[2025-01-06T05:59:34.595+0000] {logging_mixin.py:150} INFO - Game 0042300237 processed successfully.
[2025-01-06T05:59:34.596+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300217
[2025-01-06T05:59:34.874+0000] {logging_mixin.py:150} INFO - Game 0042300217 processed successfully.
[2025-01-06T05:59:34.875+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300217
[2025-01-06T05:59:34.970+0000] {logging_mixin.py:150} INFO - Game 0042300217 processed successfully.
[2025-01-06T05:59:34.972+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300226
[2025-01-06T05:59:35.228+0000] {logging_mixin.py:150} INFO - Game 0042300226 processed successfully.
[2025-01-06T05:59:35.228+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300226
[2025-01-06T05:59:35.300+0000] {logging_mixin.py:150} INFO - Game 0042300226 processed successfully.
[2025-01-06T05:59:35.300+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300216
[2025-01-06T05:59:35.638+0000] {logging_mixin.py:150} INFO - Game 0042300216 processed successfully.
[2025-01-06T05:59:35.638+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300216
[2025-01-06T05:59:35.706+0000] {logging_mixin.py:150} INFO - Game 0042300216 processed successfully.
[2025-01-06T05:59:35.707+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300236
[2025-01-06T05:59:35.971+0000] {logging_mixin.py:150} INFO - Game 0042300236 processed successfully.
[2025-01-06T05:59:35.972+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300236
[2025-01-06T05:59:36.053+0000] {logging_mixin.py:150} INFO - Game 0042300236 processed successfully.
[2025-01-06T05:59:36.054+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300205
[2025-01-06T05:59:36.402+0000] {logging_mixin.py:150} INFO - Game 0042300205 processed successfully.
[2025-01-06T05:59:36.402+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300205
[2025-01-06T05:59:36.489+0000] {logging_mixin.py:150} INFO - Game 0042300205 processed successfully.
[2025-01-06T05:59:36.490+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300225
[2025-01-06T05:59:36.768+0000] {logging_mixin.py:150} INFO - Game 0042300225 processed successfully.
[2025-01-06T05:59:36.769+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300225
[2025-01-06T05:59:36.865+0000] {logging_mixin.py:150} INFO - Game 0042300225 processed successfully.
[2025-01-06T05:59:36.866+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2025-01-06T05:59:37.225+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2025-01-06T05:59:37.226+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2025-01-06T05:59:37.488+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2025-01-06T05:59:37.489+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300235
[2025-01-06T05:59:37.556+0000] {logging_mixin.py:150} INFO - Game 0042300235 processed successfully.
[2025-01-06T05:59:37.557+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300215
[2025-01-06T05:59:37.635+0000] {logging_mixin.py:150} INFO - Game 0042300215 processed successfully.
[2025-01-06T05:59:37.635+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2025-01-06T05:59:37.973+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2025-01-06T05:59:37.974+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2025-01-06T05:59:38.267+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2025-01-06T05:59:38.267+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300204
[2025-01-06T05:59:38.337+0000] {logging_mixin.py:150} INFO - Game 0042300204 processed successfully.
[2025-01-06T05:59:38.338+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300224
[2025-01-06T05:59:38.446+0000] {logging_mixin.py:150} INFO - Game 0042300224 processed successfully.
[2025-01-06T05:59:38.450+0000] {logging_mixin.py:150} INFO - Up to 50 game data for season 2023-24 have been sent to 'games' topic in Kafka.
[2025-01-06T05:59:38.452+0000] {python.py:183} INFO - Done. Returned value was: None
[2025-01-06T05:59:38.471+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=fetch_and_process_games, task_id=fetch_and_process_games_task, execution_date=20250106T055925, start_date=20250106T055926, end_date=20250106T055938
[2025-01-06T05:59:38.529+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2025-01-06T05:59:38.545+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
