[2025-01-06T07:19:55.852+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T07:19:53.630158+00:00 [queued]>
[2025-01-06T07:19:55.858+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T07:19:53.630158+00:00 [queued]>
[2025-01-06T07:19:55.859+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-06T07:19:55.872+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): fetch_and_process_games_task> on 2025-01-06 07:19:53.630158+00:00
[2025-01-06T07:19:55.879+0000] {standard_task_runner.py:57} INFO - Started process 56 to run task
[2025-01-06T07:19:55.882+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'fetch_and_process_games', 'fetch_and_process_games_task', 'manual__2025-01-06T07:19:53.630158+00:00', '--job-id', '100', '--raw', '--subdir', 'DAGS_FOLDER/retrieve_games_dag.py', '--cfg-path', '/tmp/tmpyx7sbois']
[2025-01-06T07:19:55.884+0000] {standard_task_runner.py:85} INFO - Job 100: Subtask fetch_and_process_games_task
[2025-01-06T07:19:56.104+0000] {task_command.py:410} INFO - Running <TaskInstance: fetch_and_process_games.fetch_and_process_games_task manual__2025-01-06T07:19:53.630158+00:00 [running]> on host 1e9e966f0090
[2025-01-06T07:19:56.466+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_and_process_games' AIRFLOW_CTX_TASK_ID='fetch_and_process_games_task' AIRFLOW_CTX_EXECUTION_DATE='2025-01-06T07:19:53.630158+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-06T07:19:53.630158+00:00'
[2025-01-06T07:19:57.541+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2025-01-06T07:19:57.866+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2025-01-06T07:19:57.867+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300405
[2025-01-06T07:19:57.961+0000] {logging_mixin.py:150} INFO - Game 0042300405 processed successfully.
[2025-01-06T07:19:57.961+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2025-01-06T07:19:58.553+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
[2025-01-06T07:19:58.554+0000] {logging_mixin.py:150} INFO - Processing game ID: 0042300404
[2025-01-06T07:19:58.638+0000] {logging_mixin.py:150} INFO - Game 0042300404 processed successfully.
