status,order,personid,starter,oncourt,played,statistics_assists,statistics_blocks,statistics_blocksreceived,statistics_fieldgoalsattempted,statistics_fieldgoalsmade,statistics_foulsoffensive,statistics_foulsdrawn,statistics_foulspersonal,statistics_foulstechnical,statistics_freethrowsattempted,statistics_freethrowsmade,statistics_minus,statistics_minutes,statistics_minutescalculated,statistics_plus,statistics_plusminuspoints,statistics_points,statistics_pointsfastbreak,statistics_pointsinthepaint,statistics_pointssecondchance,statistics_reboundsdefensive,statistics_reboundsoffensive,statistics_reboundstotal,statistics_steals,statistics_threepointersattempted,statistics_threepointersmade,statistics_turnovers,statistics_twopointersattempted,statistics_twopointersmade,game_id
ACTIVE,1,1627759,1,0,1,6,0,3,23,7,1,6,4,0,6,5,83,PT44M15.00S,PT44M,103,20,21,8,8,0,8,0,8,2,9,2,1,14,5,0042300405
ACTIVE,2,1628369,1,0,1,11,0,1,24,11,0,6,2,0,8,8,86,PT44M57.00S,PT45M,104,18,31,6,18,6,7,1,8,2,7,1,2,17,10,0042300405
ACTIVE,3,201143,1,0,1,2,0,0,6,3,0,1,3,0,2,1,51,PT31M35.00S,PT32M,71,20,9,0,2,0,7,2,9,2,3,2,0,3,1,0042300405
ACTIVE,4,1628401,1,0,1,1,1,0,10,4,0,2,0,0,2,2,77,PT38M08.91S,PT38M,78,1,14,0,0,3,4,4,8,2,8,4,2,2,0,0042300405
ACTIVE,5,201950,1,0,1,4,1,0,14,7,0,0,3,0,0,0,81,PT43M08.91S,PT43M,102,21,15,2,10,2,7,4,11,0,3,1,2,11,6,0042300405
ACTIVE,6,204001,0,0,1,0,0,0,4,2,0,5,2,0,2,1,32,PT16M05.00S,PT16M,40,8,5,0,4,0,1,0,1,0,2,0,0,2,2,0042300405
ACTIVE,7,1630573,0,1,1,1,0,0,7,3,0,0,1,0,0,0,26,PT17M07.00S,PT17M,29,3,8,0,0,0,1,3,4,1,6,2,0,1,1,0042300405
ACTIVE,8,1630202,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,PT01M25.00S,PT01M,3,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0042300405
ACTIVE,9,1628436,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,PT02M02.00S,PT02M,0,-2,0,0,0,0,0,1,1,0,0,0,0,0,0,0042300405
ACTIVE,10,1629052,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PT00M38.09S,PT01M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0042300405
